i,lambda1,mu1,q01,q10,p
1,1,0.369893178275693,0.0354995671621398,0.0679593882850196,0.327028823264436,-172.685501874136
2,2,0.367293198058736,0.0379159538481173,0.00744734060940828,0.311083950822557,-171.73377711466
3,3,0.341601449941996,0.031069443640807,0.014422294775562,0.201381770506825,-171.494275592295
4,4,0.375033797110313,0.0461112649460763,0.0500058265306745,0.179201506832765,-171.521816945621
5,5,0.386389031626472,0.0238094247814287,0.000472830921546331,0.218519670579514,-170.392288723841
6,6,0.383217552789942,0.0523471618476586,0.00266066133780006,0.217920903493426,-170.891225351398
7,7,0.321847136550264,0.0557432717969565,0.00581562603237159,0.222956342140601,-172.352663200492
8,8,0.314354056965228,0.0266314596490942,0.000565499118297187,0.19739474101096,-171.581520636127
9,9,0.437515309620394,0.124017907802274,0.0503002734805485,0.14710807890704,-173.007592840967
10,10,0.3740195580598,0.0526999330041109,0.0283617515009709,0.352167636483602,-173.122639301854
11,11,0.355267612907096,0.0234269682751563,0.0655536434858883,0.0965825932820703,-173.17339071015
12,12,0.380094030839532,0.0322498618927867,0.0541757517047818,0.0962617107368581,-172.746419549549
13,13,0.374733830714229,0.0152805178769025,0.0506818970018092,0.222529221680146,-171.131745431836
14,14,0.355860112518214,0.015578572116967,0.0500416893454434,0.314178234473127,-171.99601335037
15,15,0.362337116465629,0.0544666480724897,0.0596495623402797,0.369259507379643,-173.797386600545
16,16,0.419191204887642,0.0707555275423463,0.0461504926441731,0.215619563663033,-172.016211880812
17,17,0.388752161781493,0.12678009737992,0.0483704087366556,0.107352931186276,-174.165192118396
18,18,0.405845867775383,0.0895413607002731,0.0487384682109948,0.369995381347097,-174.162666303493
19,19,0.428399364211594,0.0735710154449962,0.0511644336660466,0.36171266977843,-173.916897199203
20,20,0.479611262696083,0.0679640650676053,0.0227835410826702,0.355698208505513,-174.86116195076
21,21,0.331205264260843,0.0512694374106215,0.0791848247527506,0.324505880697968,-173.921446770579
22,22,0.446174199674297,0.0203278714994681,0.0951144542863754,0.247697324233324,-173.739575204526
23,23,0.331175899194214,0.0236773535414866,0.0965790504273464,0.199665513921631,-173.087769431012
24,24,0.308779870739546,0.0147213914489699,0.0946559743946675,0.110890021033028,-175.027844654521
25,25,0.28784158153015,0.00197466978467318,0.0659859181832346,0.379364066554102,-174.691462220727
26,26,0.361502183577232,0.0330451567926407,0.0508772871009835,0.356911878930335,-173.040122482238
27,27,0.368564879697021,0.0672412576077268,0.0358614677731903,0.0967218049996405,-172.989759498355
28,28,0.369523949631856,0.0731463322570012,0.0460981331483925,0.216841822457536,-172.188017447715
29,29,0.34757878104449,0.0036770420607979,0.0413893533799896,0.254155428061143,-171.070445918302
30,30,0.435328126730698,0.0587322076491729,0.0667540600125713,0.16891829278456,-172.645670382959
31,31,0.4437809584088,0.0511631118962326,0.0778102598652819,0.133619349739305,-173.74921636025
32,32,0.461212585443519,0.0796749922134009,0.0281489255959654,0.240244789824981,-172.758044749397
33,33,0.37928021262428,0.0686056857608083,0.0616717122447699,0.22786405832123,-172.279642092104
34,34,0.403225390937433,0.000176218155144797,0.0750088338747071,0.165607431422008,-172.093344205641
35,35,0.42180923581206,0.137175495749129,0.00597252755069836,0.234802579727638,-172.49699641863
36,36,0.462315301886607,0.132158213241993,0.016385410178163,0.205375527010666,-173.03606188947
37,37,0.426929281041516,0.00457898358552882,0.0151460109378142,0.24252541689708,-171.594976854364
38,38,0.440583353752091,0.0259380784584515,0.0392346670671988,0.187409132812684,-172.10481863436
39,39,0.347003496849441,0.0381712958628895,0.00184039828365683,0.189035451946963,-171.206099778691
40,40,0.312601037750039,0.00781050760512016,0.0684914344543408,0.193896467187147,-172.139229944102
41,41,0.411955322589507,0.0139879731804474,0.0195260813904131,0.254110494335168,-171.36973491098
42,42,0.415694070345814,0.175530202190765,0.0404613068744679,0.230923903969273,-174.217688241789
43,43,0.411687195887523,0.0338723671464013,0.0451365167707323,0.208476791176056,-171.555447656024
44,44,0.351067526586401,0.0948763232400089,0.0489243629615699,0.157417166825597,-173.327074781973
45,45,0.455445252317619,0.0506695488747003,0.00361984042862424,0.22445074228748,-171.935673369759
46,46,0.437203949203804,0.0301124328583314,0.0016531999240352,0.216957782440158,-171.377922209587
47,47,0.423011387185038,0.0319478665854436,0.0240204379393462,0.260892232652515,-171.79309540833
48,48,0.326648159033513,0.0221853220817807,0.0742147827022914,0.313828207121129,-172.953964267431
49,49,0.311801158279181,0.0240505478068507,0.0983049244873428,0.184585761088325,-173.882840037189
50,50,0.344666914294894,0.0236412002248612,0.094905092313762,0.160616081857996,-173.136581744083
51,51,0.341531487893278,0.0531163582275462,0.050342523025768,0.276696604182508,-172.689361099675
52,52,0.386327437446172,0.0551069769114255,0.0849461700413775,0.182251901845984,-172.746595474436
53,53,0.379258969386405,0.110744481882191,0.0776615050356586,0.243156474173922,-173.804569638801
54,54,0.406448041187945,0.0346824682504731,0.0193052016042115,0.282346447658889,-171.622433536195
55,55,0.389779351215642,0.0111842861652466,0.0140621062412534,0.102706585460276,-172.602085334948
56,56,0.376470291771189,0.00919657081601581,0.0300649915612024,0.218508922594966,-170.887325126254
57,57,0.382589857211519,0.0830971254750414,0.0366493694685757,0.22552256196364,-172.207986656289
58,58,0.422145053451944,0.126882611192712,0.0525812663932887,0.334303170201645,-174.161692150581
59,59,0.45380960193434,0.206580325797772,0.0629978512178472,0.413826688921863,-177.432092585397
60,60,0.449026176813894,0.143626233164214,0.140996020270826,0.448363864280345,-177.044871575345
61,61,0.490459718994132,0.166371234959018,0.152361263013841,0.4790597193058,-178.192518492786
62,62,0.536385385682971,0.205441694190846,0.115616647178029,0.0841484792791915,-180.566657787602
63,63,0.54266187421203,0.18965997172685,0.0656764731548452,0.166870052633211,-175.527970266278
64,64,0.436620588661727,0.11091857100922,0.0319593949749668,0.133542396728414,-172.73715574473
65,65,0.422419136638012,0.0530858721058099,0.0244872870309825,0.28706065945093,-172.148317825366
66,66,0.442790920619561,0.0321087831936395,8.70859820940942e-05,0.238799219606907,-171.476376582271
67,67,0.42686348032801,0.0430581942174793,0.0977434361113642,0.274362960548735,-173.370578899917
68,68,0.358168018331886,0.00364533856957571,0.0600877709683619,0.339799539730839,-172.283611771117
69,69,0.358955210276384,0.0135024193327876,0.0394276433107181,0.296750571433813,-171.583405132718
70,70,0.437046336561435,0.0158597380100236,0.0887959580141963,0.245300268792364,-173.263070229771
71,71,0.290476393236466,0.00836315097942284,0.0926196547779162,0.348910189679449,-174.574696531243
72,72,0.457607896005223,0.0527989345710273,0.0710986012385702,0.121501903345316,-174.093491473027
73,73,0.322146300800451,0.0256798249104517,2.98218948496205e-06,0.170738942088041,-171.757245150779
74,74,0.435260747645366,0.071938090453259,0.0303001244912589,0.155114056879176,-172.169206786153
75,75,0.409588688910986,0.0337008895667192,0.0251474282111882,0.132396677250743,-171.775908345152
76,76,0.384423336683174,0.0258757870841464,0.0454998032878322,0.301084088780902,-171.911302400608
77,77,0.316948989334638,0.0284542484056483,0.0618209881982379,0.197777702003002,-172.456221800312
78,78,0.346555123619917,0.0570091734268123,0.0145086847785671,0.211963092471852,-171.996183606296
79,79,0.425046729002123,0.00959416370242823,0.0464039912304883,0.273386967038798,-172.202207135333
80,80,0.346470476890257,0.0219065049733393,0.0756658317774577,0.216358949764339,-171.961812254807
81,81,0.393346846761376,0.0683938253299375,0.0877227380663592,0.183346153396664,-173.071387783911
82,82,0.376735515288008,0.0451394845148176,0.0672180837975359,0.269631198699135,-172.196051398592
83,83,0.469447080193494,0.138425384306013,0.0682595257716468,0.15934681283576,-173.920749296077
84,84,0.402984251381112,0.0106073743149979,0.0203373513126328,0.173113750476927,-171.444245841535
85,85,0.323374532367184,0.033408760765077,0.102802788760758,0.22494220778712,-173.731576649374
86,86,0.439911641568888,0.0299714716097668,0.0442964934839636,0.137851078672198,-172.352242706067
87,87,0.403249753845095,0.0596698326045241,0.0598678626888779,0.16168407098652,-172.069637178537
88,88,0.439738154796948,0.0435612700141402,0.0427569754958107,0.290812918145335,-172.742027796501
89,89,0.378714627811109,0.0398458008293667,0.157007146548279,0.453079368911264,-175.4371402268
90,90,0.421650532564676,0.0289733807676077,0.00287371720624441,0.466599449279077,-177.049407496718
91,91,0.43124626109414,0.0276583175745206,0.0123322637577992,0.220056307731057,-171.646003579934
92,92,0.315450393086284,0.0304111315390223,0.060772074362108,0.300861474864405,-173.204836164639
93,93,0.319016963003349,0.0400657908461804,0.0715951691008927,0.404563310552845,-175.260065438178
94,94,0.35471775960883,0.036834680942502,0.00918975203995603,0.0908793254208882,-174.199799789459
95,95,0.405391946176999,0.0476434697974852,0.102946084529284,0.146494600601063,-174.071299771125
96,96,0.375285507612366,0.0379613907317903,0.00609034888849129,0.290822017954014,-171.296089246549
97,97,0.330342556291764,0.0022806459822283,0.00323371326999561,0.191592866850025,-170.65120388835
98,98,0.397495972184284,0.032814977936259,0.00604835493603617,0.344102306634897,-172.464220761355
99,99,0.42472783892785,0.0646807118200252,0.0125866717946975,0.307152225217917,-172.355492869733
100,100,0.353623982566513,0.0819855222167854,0.0248223203736674,0.181270749419488,-172.756281414669
101,101,0.374168678166544,0.0693554404360967,0.0566806816062421,0.19704141720845,-172.15539747988
102,102,0.423796563471119,0.0342116898334559,0.0741570866876575,0.177906440203073,-172.516965943487
103,103,0.428983372507072,0.0104911319583646,0.0862111520467967,0.213683221380377,-172.935841662702
104,104,0.295352392024959,0.00290817124691859,0.0503475569260155,0.176609940704206,-172.177330293859
105,105,0.434042526636746,0.0105951401340812,0.0325810421400981,0.179954938975765,-171.944032003701
106,106,0.428336073945949,0.0562622726860555,0.0370345841901342,0.221898813147063,-171.965296542361
107,107,0.352201651939571,0.0221427792714907,0.0178665016930805,0.264191265328979,-171.12721450805
108,108,0.361340195410863,0.021025960949864,0.00763562757985331,0.265666294885626,-170.757648014649
109,109,0.377470138169413,0.00885922601783136,0.00139157183104079,0.168259907027078,-170.926154523479
110,110,0.340678855768863,0.0106116219465391,0.00455810935222031,0.245719829085264,-170.493904812894
111,111,0.387109504888585,0.0352759116230817,0.0646249511459545,0.249798335928382,-171.854194501419
112,112,0.36176596099162,0.00334031705261297,0.0778865962478511,0.307417564921794,-172.084083417902
113,113,0.40905247561834,0.118343620652367,0.010689808467414,0.246250402453678,-172.374982820557
114,114,0.384154413082259,0.120113394896276,0.024941251774518,0.167372461154707,-173.206003024179
115,115,0.451692211044925,0.130883531223716,0.046316647758631,0.128573714013742,-173.344409663367
116,116,0.406663729538607,0.0770449105583808,0.037476383520945,0.18029273081985,-171.874420458483
117,117,0.393703076948757,0.0816927226455303,0.025391923143933,0.25667744130681,-172.117082954739
118,118,0.369300939671777,0.0935005417411024,0.073467692620575,0.196126411060129,-173.340081057992
119,119,0.497939026895998,0.126458752715271,0.0865526585941763,0.378700998362815,-176.146319504843
120,120,0.328479516139248,0.128830764814065,0.143185520664865,0.249017369657416,-178.737611437606
121,121,0.443218241777373,0.167463575827128,0.081535273791849,0.313593836998975,-175.014500810257
122,122,0.442659300170369,0.0879219968835075,0.0173021940585233,0.31175621019437,-172.975063923451
123,123,0.391049170719399,0.048454583985062,0.0797441817877935,0.271800992888526,-172.530487361699
124,124,0.367998924703941,0.0360084372524401,0.0328410100208783,0.315414635990105,-172.151527586434
125,125,0.360879121478288,0.0230029350457615,0.0236542210200826,0.174079214449357,-171.206831338
126,126,0.328271677792162,0.0284679139571364,0.023840916858663,0.12931457401703,-172.143663723101
127,127,0.34792830221917,0.0597141025348511,0.0184645042392409,0.373990727287517,-174.210693264285
128,128,0.449452055950334,0.103384392474959,0.0942247227816068,0.106037420771835,-175.843756695475
129,129,0.415733903445166,0.0212273228341565,0.0559859344868551,0.147341596163621,-171.926477474579
130,130,0.336452433806921,0.00357226908068509,0.0473696494332511,0.191351371537064,-170.97720836021
131,131,0.408058624580648,0.0143186969593036,0.0341853652195108,0.215031308135345,-171.338142307796
132,132,0.386194287369399,0.000685827497538019,0.0700159773642295,0.187306273802642,-171.491359718779
133,133,0.41768696143308,0.0441805195985562,0.0709812621863263,0.151887610620555,-172.570466875724
134,134,0.343504188241072,0.0308335116036448,0.113764315264548,0.402088971618948,-174.530673094981
135,135,0.357801455456524,0.0962444848947206,0.0251350670842089,0.258318910745891,-173.116077634842
136,136,0.460848717765533,0.147315517899376,0.0969664232076988,0.267979497320075,-174.721068453282
137,137,0.426918872468957,0.0755178364887538,0.0384413062007262,0.214321511404897,-172.077706694753
138,138,0.572526331764668,0.354979784884957,0.0501122645095603,0.176450356330418,-177.329807897049
139,139,0.58044814816009,0.101249558918104,0.0225391594400042,0.136383985375579,-177.819414890895
140,140,0.430830574184246,0.0701460920878105,0.0401685402395566,0.255975216815371,-172.316746420174
141,141,0.421380828940035,0.0160931309453468,0.0393591827150536,0.353597943568874,-173.264543481769
142,142,0.368329915978105,0.0100715537158491,0.0899828236383817,0.360923669833737,-173.048341524055
143,143,0.325019799966121,0.00634695606891493,0.0248561947175823,0.303187237843863,-171.790407329722
144,144,0.397679098285724,0.00476288948607555,0.000546100132729814,0.275892061027431,-170.72419432606
145,145,0.347929811587244,0.00753922377846867,0.0380524390454882,0.16587233077592,-170.844383366865
146,146,0.36644480280871,0.0109498003179258,0.0227234823462047,0.328600966925509,-171.862234652828
147,147,0.381368060680582,0.00153483077689699,0.0404760849411921,0.0987494781406748,-171.872923906249
148,148,0.384657308765972,0.00139547980198819,0.0603743536121295,0.125463475804878,-171.800917258412
149,149,0.377631517322979,0.0161088922321071,0.0651174818610886,0.355301743516539,-172.80281180613
150,150,0.421938853650523,0.0243975704223283,0.247975703034513,0.557634471009021,-177.142527409853
151,151,0.364811894482111,0.0180626162463292,0.157196728614971,0.45337391351606,-175.105668153625
152,152,0.317019038721088,0.00108932801358535,0.239172804435864,0.487147632903123,-176.370728406159
153,153,0.303772375730252,0.0174719671649613,0.181886492030098,0.301412378764536,-176.33516028099
154,154,0.310170879770724,0.00112152918310161,0.172614864539147,0.468995592454048,-175.883950199405
155,155,0.370827715528001,0.0397802844816385,0.376754118624772,0.888490262885711,-177.965944911754
156,156,0.386031081597859,0.00323576666925649,0.321600655434601,0.594810086035936,-176.800802451342
157,157,0.332389982733295,0.0125485325096608,0.206335501593332,0.497566259841736,-176.114498196113
158,158,0.311359870690353,0.00263061445347605,0.137574827196762,0.324095899909179,-174.261783046294
159,159,0.372392327777587,0.00235652725470655,0.0777670604473078,0.203771822512412,-171.598271307011
160,160,0.36039283839193,0.00353498481093867,0.0113967153972433,0.20740020379163,-170.578493015918
161,161,0.285622885771265,0.0091099973067873,0.0116326062682771,0.292710378175112,-172.951939733915
162,162,0.383594231789113,0.0043779526394686,0.0214569981412409,0.16652739781128,-171.112149894153
163,163,0.371761029381995,0.056500250751611,0.0152946805016003,0.232019207130874,-171.48639884689
164,164,0.44407283192888,0.0118274445124767,0.0188491003592928,0.227078777128067,-172.220354047965
165,165,0.372692127411157,0.000787638394735035,0.0526280776104307,0.101420556871777,-172.054383021081
166,166,0.347632943009804,0.00762254834924383,0.0219678012380644,0.175046631380395,-171.056519014275
167,167,0.344370329167319,0.0023957319609336,0.10012295857456,0.0905841294397226,-175.119920774263
168,168,0.352967380784467,0.00630205263901501,0.0933452128158093,0.0675893331674617,-176.107656388286
169,169,0.357417299304182,0.0354875297370515,0.0148145205896823,0.293819504697977,-171.620122847029
170,170,0.364522455081911,0.0324400473392393,0.0124597989988775,0.208463254402549,-171.091938750792
171,171,0.383326632953979,0.00733400029018516,0.0563548789679068,0.159101734089207,-171.228788124438
172,172,0.425516471349522,0.0221085561009607,0.0323970463617304,0.279375842548113,-172.109668961271
173,173,0.388833878446404,0.103977590424734,0.0152851346930278,0.206931477767448,-172.525114808585
174,174,0.366338830661762,0.104532661676585,0.0802803782894709,0.191101113572215,-174.002215757713
175,175,0.377515928377678,0.0190730117126975,0.113181173684466,0.283514882409128,-173.016723038699
176,176,0.441118915458049,0.0172860066894713,0.0954485449191504,0.336678514356684,-174.151691363101
177,177,0.315194623105787,0.0110252035062994,0.0544574246092216,0.268577432594141,-172.162823624668
178,178,0.324437365797981,0.0169947416238269,0.0186182247792434,0.258154793376724,-171.488601526918
179,179,0.333633752677572,0.0161157572450528,0.00768607021004539,0.191888894328754,-171.154954586169
180,180,0.327207742728366,0.0158043240158295,0.0441184487987625,0.201125602234688,-171.442355605164
181,181,0.367652082268993,0.0815683537845505,0.0823842325443391,0.233491851631344,-173.325100741286
182,182,0.433422544107698,0.109210481905945,0.0234555892282874,0.227780278318943,-172.492242651332
183,183,0.360277048936935,0.0423067713320598,0.0449128483777479,0.104975415323927,-172.422459908945
184,184,0.444646895820681,0.0117718555888676,0.0454040241963458,0.349248411309224,-173.909890061595
185,185,0.332012975167011,0.0483383133623567,0.00227444181896728,0.271916967604792,-171.880016621201
186,186,0.395193107890444,0.0812094153664139,0.00648822231032892,0.207548979262229,-171.619096450783
187,187,0.435789971413784,0.00272841470046194,0.0196971032663477,0.256005979217859,-172.046958505491
188,188,0.309864184568961,0.00733845432759728,0.028051517716445,0.106936459862704,-172.390308082422
189,189,0.444775392710947,0.0536212113087417,0.0593665977426056,0.267629056999673,-172.877991197728
190,190,0.396893398898283,0.1002826781396,0.0777615733026276,0.147722083176041,-173.653709079399
191,191,0.393346640336247,0.109709697599327,0.0115839127163541,0.13787999371143,-173.8817932276
192,192,0.450274804619766,0.056025695539569,0.0771240128787426,0.197088911154692,-173.218709882423
193,193,0.399574268102485,0.00697327658086505,0.0465529143526274,0.28172786705539,-171.70141668232
194,194,0.382712107518225,0.0499857560969033,0.0137789568859555,0.281848830415516,-171.545119478979
195,195,0.349655582232524,0.0528109877004919,0.0489475943508789,0.338142214661289,-173.319581433187
196,196,0.423800410323753,0.0163948720509818,0.0666580316084887,0.247609034642389,-172.312350858265
197,197,0.332648665523087,0.0140768535849058,0.00105284691175346,0.216408114579499,-170.563338696562
198,198,0.360444982806991,0.00932043723371786,0.00579669963339783,0.218644467833639,-170.345238943127
199,199,0.366023473416435,0.0262540007540153,0.00977276939784031,0.288637477867891,-171.176113519594
200,200,0.425619384040411,0.0363139628066566,0.0437305494780176,0.17943817640741,-171.759294578162
