"lambda0","lambda1","mu0","mu1","q01","q10"
0.314544394357401,0.710438704623146,2.01119920160866e-05,1.81876928993778e-05,1.05029787010546e-08,0.324781693563469
0.209243091022775,0.474764905634869,2.36555276342235e-06,1.29604184487557e-05,1.27498543375302e-06,0.218080065872499
0.319788832362576,0.720348674059522,2.4174715598472e-09,1.19298825270161e-09,9.54088466350901e-09,0.32413504556428
0.261045676224373,0.662914177917836,1.04560502097973e-07,1.45938024005081e-09,3.34297349780713e-08,0.311370760098724
0.137243623695036,0.328355303849463,1.10794254310765e-08,8.73971136277711e-09,6.61504181171598e-07,0.158526280035419
0.174715231559053,0.475920614884989,1.39089533945375e-07,3.04548091222938e-08,4.25612760153212e-09,0.226512181716596
0.266928296403016,0.583522067923306,5.15584372639161e-06,1.72995518628433e-06,5.06599318201503e-09,0.265348943801463
0.237504640299383,0.504307444520116,2.49885988483765e-08,1.71924693569502e-05,2.66583945284738e-06,0.23046539990864
0.170528529051312,0.377417632315504,8.71093329789744e-06,1.48621573340281e-05,9.37964022701307e-09,0.174957634617974
0.239976281864783,0.571097834319365,7.84150646987588e-08,2.07128530378144e-08,5.64046682784253e-09,0.276542544176301
0.211664070393202,0.546130662161794,2.40220336668125e-06,2.79687985280887e-07,6.01000307871556e-07,0.263862354977712
0.234016166920171,0.517354721241725,6.38306870989523e-07,8.07775138218811e-07,6.37794698852729e-08,0.23173016201245
0.269022243343516,0.535976934465623,7.89027149338228e-06,1.92040982581449e-08,1.38775784600643e-07,0.238750003190127
0.185567267934121,0.48285343901465,1.1853334128236e-08,2.33866434454919e-08,1.28471540571557e-06,0.223383880804164
0.252293314853365,0.579535775518683,5.3277538337796e-07,1.07219054555401e-06,4.07703741143147e-10,0.272041615124767
0.235480749499808,0.586318100698114,5.31452407846228e-06,1.15467900219708e-07,4.44554183874842e-10,0.285922196591891
0.220045006083059,0.470534092012221,5.70903477587176e-09,1.44949004738908e-08,1.41977603835768e-07,0.216466667403287
0.253515433811405,0.55647326540713,8.97402973067364e-06,9.60090220882528e-09,7.96378909764439e-07,0.257194965061063
0.208471259198381,0.478496048005793,9.95545105426169e-06,5.97019871992828e-06,1.36597648790284e-08,0.223452650921575
0.27531669857054,0.670323769544878,1.0555737116619e-09,2.54125350573264e-09,2.13957797180698e-09,0.324552923697926
0.294914861946555,0.563132197661539,1.62722123428305e-05,5.3552672183788e-08,1.7819208517729e-06,0.255734305932274
0.228011630947818,0.642047008739938,3.29509061080359e-06,9.18073150900952e-07,4.43439403473396e-09,0.316218471246243
0.25008499587215,0.589135028686897,1.55751432536748e-07,1.37189409727279e-06,7.47475770256984e-07,0.270925733831281
0.230363769896514,0.527604591894942,2.37631093919769e-07,4.67014908024327e-08,1.73648545457579e-09,0.240621982537447
0.287303647074023,0.774543202814485,2.31814981064949e-07,8.81778861059779e-07,2.61727897218111e-08,0.391913762718429
0.253164175324909,0.466867266501585,1.23231724693687e-05,1.45660064967782e-06,7.39477549913048e-06,0.211845080985522
0.175307869343488,0.492748854422561,1.23307973163964e-08,7.2159729080847e-07,9.60796365196705e-07,0.24342353111925
0.215014303397478,0.485839655193496,4.98384360546779e-07,4.05484306428122e-07,1.08715699145481e-07,0.223301129213566
0.256935874807105,0.653743821351812,1.12156692499056e-05,2.37649381878138e-07,5.78398147810325e-06,0.315232841160684
0.197492327589632,0.522100356658758,1.96316433420252e-06,1.71535638254371e-06,4.57538664410947e-08,0.242358152287938
0.237218698085529,0.632888120551002,3.67527539084457e-09,1.36359484184065e-06,8.95082995312481e-10,0.31222033357194
0.217881578337856,0.554010087068265,6.88100003343691e-06,5.49070655923252e-07,5.12748628055371e-08,0.262189991584256
0.276573333762764,0.572966189623486,3.90142424652101e-08,3.59615454072117e-07,1.40528579313235e-05,0.259668894289681
0.25503711797057,0.576330996874447,1.96854444672169e-07,6.64012473230842e-07,1.41107915476744e-08,0.263965488943562
0.210225533279836,0.548373499659311,2.63268387282233e-07,1.04309562922201e-07,6.90924838336592e-07,0.264009459639558
0.282905479266296,0.588469310271683,1.75477580456514e-07,9.8532809901536e-09,7.49241623782192e-08,0.273935164695104
0.237770503593793,0.49576327823994,1.36573723733959e-08,1.27136850522895e-08,2.69893144106507e-09,0.23010732466286
0.226432404333378,0.514456149139058,2.11517287470214e-08,4.89891508316222e-09,1.92783337201815e-09,0.242819815440748
0.241471059958586,0.513311815544415,2.6912680520463e-07,5.76793867937407e-06,4.17887461545018e-06,0.237783523044148
0.231563544627125,0.503760708286919,1.12017142082323e-07,6.94677563264502e-06,6.69039212137749e-09,0.237027733103507
0.295514955318252,0.703039125273399,9.33146180364476e-07,2.72560366673793e-06,1.728244048581e-06,0.330123817052801
0.272603989765479,0.57152064095645,1.38830653509747e-08,3.88391810730017e-05,1.99648978509653e-06,0.258984544613676
0.208390650119888,0.413140559811887,1.05112765469012e-06,1.40552687404859e-05,4.1640902821793e-09,0.187074298932696
0.187841567538789,0.423169019579591,2.82538144462949e-07,4.57976520238389e-08,1.3287771832726e-06,0.198841173187224
0.222429791741719,0.548215046705784,4.1861659059286e-08,6.22470770500045e-05,2.11188240135632e-06,0.259579479428591
0.20965046241675,0.4206454429007,1.81960003973053e-08,3.47393888224796e-07,3.44385954501115e-07,0.189049401291464
0.244412866955052,0.596132467487806,2.25972181300527e-07,1.59386633707983e-07,1.72021270880801e-06,0.280709419626929
0.248526637460141,0.568485841316278,3.42573239586381e-08,2.16588476074239e-06,2.60129904150047e-09,0.265782517194741
0.197961057503636,0.456890238276469,3.95474172088042e-05,2.43980111033151e-05,1.01441485074818e-08,0.209304353145848
0.228738156694966,0.608182939871393,2.60278116148597e-05,5.699822410659e-08,6.73681506493956e-06,0.303638616998746
0.162096727147724,0.334197946402711,4.36249284435968e-05,1.07697342135165e-07,5.3068351934465e-07,0.151853156813409
0.281236958720003,0.65512705271042,2.92829328185671e-07,2.31786208990601e-05,1.51294371271417e-08,0.306217885208319
0.279575333144847,0.608498498917607,3.77005836752981e-05,4.50724841293749e-07,6.77065123191649e-06,0.276441676889273
0.186605694106984,0.371554372283389,1.76984752449425e-05,2.78281404691511e-06,3.50537540130442e-06,0.170215932062001
0.220987904729438,0.487410124121138,6.44832593228021e-09,1.57301339728368e-05,4.26951554904969e-07,0.234535210251206
0.236411372049425,0.637364708494804,3.38908378043814e-07,9.61325830365793e-09,1.18996402228458e-09,0.304498612336327
0.179967302055078,0.473363369253042,1.53442372907999e-06,1.17227763289714e-07,5.27128707410103e-07,0.231720090702267
0.245225425176946,0.612210602189023,3.68020270885137e-08,4.48006588973298e-08,1.20434239907129e-06,0.288858866259623
0.277054294218934,0.622772728472807,3.68660114763125e-08,4.43920913280373e-05,3.8648052426028e-06,0.289604888370748
0.24385038383211,0.498196473246931,4.72149917164831e-06,9.34502987680947e-09,7.99112779207105e-07,0.223030220330612
0.232634216020341,0.552333980467783,1.70153263570213e-06,1.21872018796417e-07,0.000193269070407581,0.249000549680139
0.290005104382504,0.679894101685128,2.63507046501651e-07,6.37842778203626e-07,4.30064359470072e-06,0.320118603490277
0.226648297386311,0.532992397728679,6.95960857372435e-08,2.05506912496177e-08,4.62444464492781e-10,0.248722910306089
0.253601583419272,0.621313484129479,3.60950688623493e-05,1.34672410958147e-06,3.65990528562742e-08,0.278396354862544
0.294979434517826,0.565803374924331,9.32863817628519e-06,2.46868609168988e-07,2.94786529726468e-06,0.262332298799047
0.178294333401361,0.445802428142351,6.57331803338608e-06,1.88582798247881e-07,2.41121068701776e-07,0.209980884390002
0.212083781109342,0.476877198984676,2.41661242923085e-06,3.00757827984705e-09,2.38889702536787e-08,0.230953007478194
0.289306715345619,0.726864768426004,1.83138347063303e-06,9.59490085394124e-07,5.43325275643908e-09,0.352927743093253
0.215224240634342,0.530036079845382,9.50919143080625e-09,3.77969672891683e-05,3.59751501823902e-06,0.250204087015464
0.256556678208524,0.572426765897974,2.11637329410775e-06,2.99845231845414e-06,3.91691674335154e-09,0.270934873258302
0.24434121354891,0.511114569198344,3.19103299307964e-05,1.36587830283299e-07,2.92833720971626e-06,0.233765382603864
0.233383229610644,0.577231328876663,3.85825713003848e-06,2.90687007340482e-08,1.0142712170324e-07,0.272354014749756
0.237065768015004,0.474773922328938,1.79839721670615e-06,2.66227753174516e-06,2.10710078726592e-09,0.204595602315575
0.194064965447034,0.588950232830516,1.23932645629184e-05,3.62149508791751e-08,1.00888318550934e-08,0.284729502133391
0.257643380221754,0.545969404876443,9.31383553499691e-08,3.02924121358884e-05,3.25963861833874e-06,0.245662116306067
0.290335330398769,0.692784692119749,5.12477171284057e-06,1.22075399619466e-05,1.58942535349853e-09,0.335636885753871
0.175913605663837,0.430185938842031,9.54376959383725e-10,4.14073247358042e-07,1.0474967899934e-06,0.205203990597264
0.19183923679903,0.449097725613281,6.8930497341826e-07,7.2284129194168e-08,3.45764167861611e-08,0.211173321140199
0.254193842526254,0.505186816043661,3.55664658755648e-05,1.06985421640048e-07,2.49973682920701e-06,0.225790756841521
0.213091355861477,0.429616128033279,5.80253396248303e-05,1.01386411167554e-07,1.73725265088967e-06,0.197349523690839
0.242338916366638,0.611873240544875,9.81007604516107e-08,1.35102866978031e-08,8.81189337488685e-09,0.287055678608011
0.23941327350961,0.57268808763974,2.05030606503391e-08,2.13905138391167e-06,6.99375156954267e-09,0.269017116781026
0.183588951170787,0.473960435449541,7.38051461303675e-07,3.04449299865325e-05,6.40360747332857e-07,0.226350035411803
0.229657196796157,0.554102522650021,1.94367126435632e-06,6.66203157928919e-07,5.07546693954834e-08,0.266156912641061
0.231667811982388,0.446468451689782,1.13647027379511e-08,8.16056561857347e-06,2.11298024956089e-06,0.202939773180769
0.247948070526165,0.580436489043502,3.06003323707152e-07,1.08666397009712e-05,2.92899274579931e-09,0.272938979755222
0.246683447893788,0.589169787124912,3.59715457437188e-07,2.98833959356148e-05,1.54716638795963e-07,0.27571868665461
0.294470334035477,0.750676221150058,6.18728494627393e-06,4.98413961008818e-06,1.21135565265162e-07,0.356386016021994
0.172783264871016,0.479446309384506,4.55370915082362e-09,1.29268545429142e-09,6.52371762686019e-10,0.231879692249335
0.243203591580325,0.520574133330108,6.89168488805469e-07,1.73060616715106e-09,4.67804696107636e-08,0.240011797420056
0.255316612955284,0.589796465793488,3.28670948175047e-05,8.80701741735585e-08,3.11079699908499e-06,0.269327871342103
0.23576610227393,0.618388157506857,1.19784751163023e-05,2.04207117685751e-05,1.07583114512077e-08,0.293822494300552
0.228605668802918,0.551393208635411,1.31656206271984e-08,9.02353151351199e-07,1.23136128738669e-06,0.258764059885861
0.212229446137188,0.460117009750993,2.02024951174172e-09,1.75737318790487e-06,2.32052802617927e-07,0.207489341114608
0.174629625558496,0.46598051737258,8.08287369415355e-06,2.49990462208615e-07,7.90079597290772e-07,0.230050498380801
0.24035195015509,0.531123726772762,4.40306416426726e-07,1.05963733035731e-07,2.91243009990487e-06,0.2490867802923
0.200889331974742,0.460116355358511,2.98443212177814e-06,1.97420264765229e-08,4.24983510776522e-11,0.211433237844602
0.210887899081122,0.495380748329901,4.10582970289407e-05,4.00586531845888e-10,6.43167624779872e-06,0.236698283115237
0.221241815413633,0.585646530412305,7.77839469974956e-08,1.68025812314132e-07,3.05214529595737e-11,0.290918491106041
0.214499392375026,0.483664034923606,1.35204110190221e-05,6.68695533067153e-06,1.47758646418922e-06,0.229079964377258
